user_id,city,age,reg_method,reg_date,ex_date,gender
U7935,C1,0,R3,20150125,20170618,female
U15332,C5,22,R7,20131204,20170907,male
U15975,C4,46,R7,20130623,20170923,female
U10075,C13,45,R7,20100329,20180313,male
U6527,C15,38,R9,20070716,20170927,female
U11210,C15,18,R3,20150727,20170613,male
U19750,C16,29,,20160106,20171005,female
U16710,C13,47,R7,20120118,20170918,male
U11500,C4,38,R9,20100123,20160602,male
U14054,C22,40,R3,20150624,20170813,male
U6871,C12,21,R3,20120817,20170825,male
U12274,C5,21,R9,20151028,20170702,female
U7550,C15,24,R9,20101125,20170930,female
U539,C13,23,R9,20141207,20170527,female
U17819,C13,27,R3,20140422,20170930,male
U755,C22,27,R4,20160225,20171006,female
U17360,C22,23,R7,20140814,20170910,male
U14338,C5,22,R9,20100411,20171028,male
U11077,C5,23,,20131124,20180210,female
U18083,C22,22,R3,20150810,20170914,female
U14274,C1,17,R4,20160911,20170709,male
U18255,C5,31,R9,20070213,20170930,male
U20052,C13,30,R7,20160805,20161213,female
U9043,C11,24,R9,20110821,20170916,male
U4448,C5,34,R9,20100825,20170930,female
U5847,C13,23,R3,20121112,20170921,male
U18988,C9,26,R9,20111111,20170914,male
U23496,C1,21,R4,20160223,20161201,female
U6331,C5,20,R4,20151018,20170923,male
U9434,C13,21,R9,20111126,20171121,male
U22908,C15,27,R9,20130209,20171010,female
U10059,C22,30,R3,20160824,20170924,male
U2248,C5,28,R9,20081216,20171006,female
U9263,C13,18,R9,20130205,20170909,male
U16683,C13,22,R3,20130106,20171005,female
U2876,C22,23,R9,20091130,20171001,female
U10381,C14,49,R9,20110212,20171031,male
U10694,C9,25,R7,20110924,20171005,male
U618,C1,51,R9,20111117,20170917,female
U21467,C13,39,R3,20141012,20170930,male
U12946,C5,43,R9,20061113,20170930,male
U4580,C5,29,R9,20100626,20171031,female
U17847,C13,23,R7,20130218,20170920,female
U23858,C22,42,R9,20061210,20170325,female
U21494,C5,41,R9,20110211,20171015,male
U8003,C6,20,R9,20080331,20171113,female
U1525,C22,21,R3,20130823,20170924,female
U13074,C13,26,,20130405,20171003,female
U4364,C21,27,R9,20040823,20170708,female
U11644,C15,26,R3,20150915,20170920,female
U9812,C1,39,R7,20130515,20170908,male
U4023,C13,24,R9,20120525,20180126,female
U12882,C5,19,R3,20150124,20170910,male
U1010,C4,33,R7,20130514,20170908,female
U14515,C13,0,R3,20130208,20170811,female
U16249,C1,22,R3,20160622,20170811,male
U10761,C14,25,,20160918,20170917,female
U8200,C15,29,R3,20140105,20171017,female
U4092,C15,35,,20100729,20170916,male
U18104,C15,26,R7,20161121,20170920,female
U13285,C15,50,R7,20110428,20170930,female
U18485,C5,42,R9,20051116,20180305,female
U3561,C15,46,R4,20161102,20170910,female
U7775,C4,25,R7,20150923,20170923,male
U21619,C15,44,R7,20130106,20171123,male
U4725,C13,24,R3,20131012,20170912,female
U24247,C5,42,R4,20161228,20170716,male
U17697,C4,29,R7,20110326,20170921,female
U8332,C13,36,R9,20140920,20170918,female
U16815,C22,36,R9,20110425,20180518,male
U10217,C13,18,R9,20131021,20170806,female
U16893,C4,27,R9,20100216,20171005,female
U17361,C4,22,R9,20110224,20170922,male
U12245,C11,37,R3,20120807,20170618,male
U5370,C22,20,R7,20151010,20180602,female
U11451,C22,32,R3,20130113,20170915,female
U645,C5,29,R3,20130724,20170927,female
U2098,C13,26,R9,20110922,20170921,male
U5493,C4,40,R9,20131015,20170914,female
U8371,C13,27,R9,20120512,20180212,female
U21518,C10,26,R3,20121227,20170221,female
U5375,C10,19,R9,20160116,20180117,male
U16688,C5,22,R4,20160816,20170922,male
U14720,C4,25,R7,20111027,20170911,female
U11527,C8,31,R3,20150719,20170913,female
U24279,C15,17,R4,20170121,20171009,female
U9739,C5,47,R7,20161231,20170930,female
U24243,C12,31,,20161107,20170613,male
U12761,C5,28,R7,20160321,20170921,male
U17264,C13,28,R4,20160205,20170930,female
U17299,C18,36,R9,20041019,20170930,male
U12849,C13,24,R9,20141216,20170621,female
U10116,C13,20,R3,20150721,20171204,male
U8792,C4,33,R9,20060118,20170910,female
U14608,C18,30,,20070420,20170930,male
U3773,C4,30,R9,20111014,20170918,male
U7420,C15,25,R9,20070731,20170930,male
U9173,C5,25,R9,20120617,20170607,male
U19097,C6,0,R9,20040401,20170615,female
U11162,C13,31,R9,20140920,20171117,male
U1912,C22,20,R7,20170126,20170930,female
U9573,C13,25,R9,20080608,20171002,male
U9852,C13,25,R9,20101129,20170930,female
U10892,C22,24,,20100729,20170925,female
U12254,C15,28,R9,20080426,20171002,female
U966,C5,23,R9,20080228,20171016,female
U4649,C22,43,R9,20090830,20170915,male
U5583,C18,28,R3,20120527,20170218,female
U7472,C5,49,,20151218,20180320,male
U1002,C14,23,,20141008,20170907,female
U12185,C13,22,R9,20110901,20171017,female
U22101,C1,21,R4,20161117,20170609,female
U20642,C22,25,R4,20160406,20180107,male
U1039,C11,25,R4,20161231,20170114,female
U10327,C22,46,R9,20070209,20170916,female
U16805,C13,24,R9,20140108,20170901,female
U23405,C4,19,R9,20150625,20170915,male
U17514,C8,19,R7,20160215,20170914,female
U3616,C13,25,R9,20151119,20170108,female
U8041,C13,21,R9,20110523,20170910,male
U15723,C5,33,R4,20160323,20170824,female
U1459,C16,0,R9,20050415,20170811,male
U16801,C13,25,R9,20100531,20170924,female
U6870,C4,28,R4,20151031,20180127,female
U6029,C12,30,R9,20120517,20170819,male
U9250,C22,19,R3,20120721,20171004,male
U18061,C22,52,R9,20051029,20180104,female
