imdb_score,movie_facebook_likes,duration,num_user_for_reviews,director_facebook_likes,title_year,color
7.9,33000,178,3054,0,2009,Color
7.1,0,169,1238,563,2007,Color
6.8,85000,148,994,0,2015,Color
8.5,164000,164,2701,22000,2012,Color
7.1,0,,,131,,
6.6,24000,132,738,475,2012,Color
6.2,0,156,1902,0,2007,Color
7.8,29000,100,387,15,2010,Color
7.5,118000,141,1117,0,2015,Color
7.5,10000,153,973,282,2009,Color
6.9,197000,183,3018,0,2016,Color
6.1,0,169,2367,0,2006,Color
6.7,0,106,1243,395,2008,Color
7.3,5000,151,1832,563,2006,Color
6.5,48000,150,711,563,2013,Color
7.2,118000,143,2536,0,2013,Color
6.6,0,150,438,80,2008,Color
8.1,123000,173,1722,0,2012,Color
6.7,58000,136,484,252,2011,Color
6.8,40000,106,341,188,2012,Color
7.5,65000,164,802,0,2014,Color
7,56000,153,1225,464,2012,Color
6.7,17000,156,546,0,2010,Color
7.9,83000,186,951,0,2013,Color
6.1,0,113,666,129,2007,Color
7.2,0,201,2618,0,2005,Color
7.7,26000,194,2528,0,1997,Color
8.2,72000,147,1022,94,2016,Color
5.9,44000,131,751,532,2012,Color
7,150000,124,1290,365,2015,Color
7.8,80000,143,1498,0,2012,Color
7.3,0,135,1303,0,2004,Color
7.2,95000,195,1187,1000,2013,Color
6.5,24000,108,736,13000,2010,Color
6.8,0,104,1912,420,2006,Color
7.3,44000,104,265,37,2013,Color
6,0,150,1439,0,2009,Color
5.7,56000,165,918,0,2014,Color
6.4,60000,130,511,0,2013,Color
6.7,41000,142,1067,464,2014,Color
6.8,30000,125,665,364,2010,Color
6.3,10000,106,283,487,2011,Color
5.6,24000,123,550,258,2011,Color
8.3,30000,103,733,125,2010,Color
6.6,0,118,974,368,2009,Color
7.2,94000,140,657,0,2015,Color
7,129000,123,995,395,2013,Color
8,82000,149,752,0,2014,Color
7.8,92000,132,1171,14000,2013,Color
6.3,22000,114,205,0,2013,Color
7.3,115000,143,753,1000,2013,Color
6.6,23000,116,453,179,2010,Color
7,83000,131,1106,0,2013,Color
6.3,46000,154,899,0,2011,Color
6.2,5000,122,2054,14000,2008,Color
6.8,20000,93,345,113,2015,Color
7.2,39000,93,428,56,2012,Color
7.5,30000,122,432,681,2016,Color
8.4,16000,98,1043,475,2008,Color
6.2,0,91,221,420,2007,Color
