"custid","gender","age","marriage","residence","job"
19948,0,32,1,"Gangnam-gu","개인사업"
38892,0,48,1,"Songpa-gu","제조업"
24183,0,34,1,"Eunpyeong-gu","건설업"
43019,0,53,1,"Seocho-gu","건설업"
45759,1,57,1,"Gangnam-gu","제조업"
11631,0,28,1,"Yangcheon-gu","운송서비스"
28413,0,38,1,"Gangnam-gu","의료기관"
43117,1,53,1,"Songpa-gu","공공기관"
29262,0,39,1,"Mapo-gu","개인사업"
25723,1,36,1,"Mapo-gu","공공기관"
45994,0,57,0,"Seongdong-gu","전문직"
25484,1,35,0,"Yeongdeungpo-gu","제조업"
33829,0,43,0,"Jungnang-gu","건설업"
29773,0,39,1,"Gangnam-gu","의료기관"
13558,0,29,0,"Gangnam-gu","공공기관"
42800,0,53,1,"Gangnam-gu","개인사업"
18313,0,31,0,"Seongdong-gu","금융기관"
11489,1,29,0,"Gangbuk-gu","개인사업"
21022,0,32,0,"Gangnam-gu","개인사업"
45046,0,55,1,"Gangdong-gu","교육기관"
41859,0,51,1,"Gangnam-gu","개인사업"
33904,1,43,1,"Yangcheon-gu","개인사업"
31926,1,41,1,"Seodaemun-gu","공공기관"
46661,1,58,1,"Seocho-gu","제조업"
32382,1,42,1,"Seocho-gu","그룹사"
34294,0,44,1,"Yeongdeungpo-gu","교육기관"
28196,0,37,0,"Jongno-gu","개인사업"
30026,0,39,0,"Gangnam-gu","개인사업"
19486,0,32,1,"Seodaemun-gu","개인사업"
14883,0,30,1,"Gwangjin-gu","공공기관"
44348,0,54,1,"Songpa-gu","개인사업"
41595,0,51,1,"Gangnam-gu","제조업"
33276,1,43,1,"Yangcheon-gu","공무원"
37086,0,46,1,"Gangdong-gu","교육기관"
10853,0,28,0,"Jungnang-gu","제조업"
25566,0,35,1,"Seongdong-gu","개인사업"
35457,0,45,1,"Seocho-gu","공공기관"
17007,0,31,1,"Mapo-gu","개인사업"
20161,0,32,1,"Seongdong-gu","제조업"
17416,1,31,1,"Gangnam-gu","개인사업"
14598,0,30,0,"Gangbuk-gu","금융기관"
23291,0,34,1,"Eunpyeong-gu","예술"
23223,0,34,1,"Seodaemun-gu","의료기관"
21739,0,33,1,"Seocho-gu","개인사업"
46230,0,57,1,"Jungnang-gu","개인사업"
14460,0,30,0,"Seodaemun-gu","제조업"
17347,0,31,0,"Seocho-gu","건설업"
24767,0,35,1,"Mapo-gu","전문직"
18374,0,31,0,"Mapo-gu","개인사업"
38328,0,47,1,"Eunpyeong-gu","개인사업"
47523,0,60,1,"Yangcheon-gu","교육기관"
23824,1,34,1,"Yongsan-gu","개인사업"
35904,0,45,1,"Gwangjin-gu","개인사업"
13841,0,29,0,"Seocho-gu","개인사업"
27654,0,37,0,"Yongsan-gu","도소매업"
16376,0,30,1,"Seodaemun-gu","개인사업"
13972,1,29,0,"Nowon-gu","공무원"
34052,1,43,1,"Gangdong-gu","개인사업"
39067,1,48,1,"Jungnang-gu","제조업"
21522,0,33,1,"Seongdong-gu","개인사업"
30865,0,41,1,"Seodaemun-gu","의료기관"
12932,0,29,0,"Jongno-gu","개인사업"
44735,1,55,1,"Seocho-gu","개인사업"
47614,0,60,1,"Seodaemun-gu","개인사업"
35759,1,45,1,"Gangnam-gu","교육기관"
23612,0,34,1,"Mapo-gu","개인사업"
45444,1,56,1,"Jung-gu","개인사업"
42515,0,52,1,"Gangdong-gu","개인사업"
34835,0,44,1,"Gangnam-gu","개인사업"
44815,1,55,1,"Dongjak-gu","건설업"
33358,1,36,1,"Seodaemun-gu","교육기관"
29123,0,38,1,"Seocho-gu","교육기관"
31685,1,41,1,"Mapo-gu","개인사업"
10070,0,28,0,"Yongsan-gu","제조업"
24115,1,34,1,"Gangnam-gu","그룹사"
16520,1,30,1,"Mapo-gu","개인사업"
21235,0,32,1,"Gwangjin-gu","그룹사"
28342,1,38,1,"Songpa-gu","제조업"
20315,0,32,0,"Gangnam-gu","교육기관"
13277,0,29,0,"Eunpyeong-gu","제조업"
17140,1,31,1,"Gangnam-gu","연구기관"
29848,1,38,1,"Gwangjin-gu","개인사업"
22176,1,33,1,"Seongdong-gu","개인사업"
33670,1,43,1,"Seocho-gu","제조업"
13008,0,29,0,"Seocho-gu","교육기관"
22592,0,34,1,"Mapo-gu","개인사업"
40122,0,49,1,"Mapo-gu","개인사업"
36829,0,46,1,"Dongjak-gu","개인사업"
36563,1,46,1,"Nowon-gu","교육기관"
15026,0,30,0,"Gangseo-gu","의료기관"
13769,0,29,0,"Jungnang-gu","금융기관"
28960,0,38,1,"Seodaemun-gu","개인사업"
19752,1,32,0,"Seongdong-gu","전문직"
40194,0,49,1,"Songpa-gu","개인사업"
19066,0,31,0,"Songpa-gu","그룹사"
15363,0,30,0,"Gwangjin-gu","제조업"
32687,0,41,1,"Mapo-gu","정보서비스"
12664,0,29,0,"Mapo-gu","제조업"
23066,1,34,1,"Mapo-gu","제조업"
24324,0,35,1,"Seodaemun-gu","개인사업"
26839,1,36,1,"Gwangjin-gu","개인사업"
19202,0,31,1,"Gwangjin-gu","금융기관"
23553,0,34,1,"Seodaemun-gu","언론기관"
37669,1,47,1,"Gangnam-gu","개인사업"
23352,0,34,0,"Seocho-gu","개인사업"
42413,0,52,1,"Songpa-gu","개인사업"
36175,0,45,1,"Gangnam-gu","제조업"
39397,1,49,1,"Gangnam-gu","전문직"
21161,1,32,0,"Gangnam-gu","정보서비스"
14035,0,29,1,"Dongjak-gu","의료기관"
